EECS 551,Matrix Methods for Signal Processing, Data Analysis and Machine Learning,Prerequisite: EECS 351 or Graduate Standing. Min grade of “C”. Students who have previously enrolled in 453 or 505 cannot get credit for 551. (4 credits),https://atlas.ai.umich.edu/course/EECS%20551/
EECS 552 (APPPHYS 552),Fiber Optics: Internet to Biomedical Applications,Prerequisite: Any one of EECS 334, EECS 429, EECS 434, EECS 529, EECS 537, EECS 538, EECS 539 or permission of instructor. (3 credits),https://atlas.ai.umich.edu/course/EECS%20552/
EECS 553,Machine Learning (ECE),Advisory Prerequisite: Graduate coursework in probability and linear algebra. (3 credits) (Students may not receive credit for both EECS 553 and EECS 545),https://atlas.ai.umich.edu/course/EECS%20553/
EECS 554,Introduction to Digital Communication and Coding,Prerequisite: EECS 216 and EECS 301. (3 credits),https://atlas.ai.umich.edu/course/EECS%20554/
EECS 555,Digital Communication Theory,Prerequisite: EECS 501, EECS 554. (3 credits),https://atlas.ai.umich.edu/course/EECS%20555/
EECS 556,Image Processing,Advisory Prerequisite: EECS 501; Corequisite: EECS 453 or EECS 551. (3 credits),https://atlas.ai.umich.edu/course/EECS%20556/
EECS 557,Communication Networks,Prerequisite: Graduate standing, preceded by EECS 301 or accompanied by EECS 501. (3 credits),https://atlas.ai.umich.edu/course/EECS%20557/
EECS 558,Stochastic Control,Prerequisite: EECS 501, EECS 560. (3 credits),https://atlas.ai.umich.edu/course/EECS%20558/
EECS 559,Optimization Methods in Signal Processing and Machine Learning,Advisory Prerequisite: EECS 551 and EECS 501. (3 credits),https://atlas.ai.umich.edu/course/EECS%20559/
EECS 560 (AEROSP 550) (CEE 571) (MECHENG 564),Linear Systems Theory,Prerequisite: Graduate standing. (4 credits),https://atlas.ai.umich.edu/course/EECS%20560/
EECS 561 (MECHENG 561),Design of Digital Control Systems,Prerequisite: EECS 460 or MECHENG 461. (3 credits),https://atlas.ai.umich.edu/course/EECS%20561/
EECS 562 (AEROSP 551),Nonlinear Systems and Control,Prerequisite: Graduate standing. (3 credits),https://atlas.ai.umich.edu/course/EECS%20562/
EECS 563,Hybrid Systems, Analysis, and Control,Advisory Prerequisite: (EECS 562) or (EECS 560 and permission of instructor.) (3 credits),https://atlas.ai.umich.edu/course/EECS%20563/
EECS 564,Estimation, Filtering, and Detection,Prerequisite: EECS 501. (3 credits),https://atlas.ai.umich.edu/course/EECS%20564/
EECS 565,Linear Feedback Control Systems,Prerequisite: EECS 460 or AEROSP 348 or MECHENG 461 and AEROSP 550 (EECS 560). (3 credits),https://atlas.ai.umich.edu/course/EECS%20565/
EECS 566,Discrete Event Systems,Prerequisite: Graduate standing (3 credits),https://atlas.ai.umich.edu/course/EECS%20566/
EECS 567 (MFG 567) (MECHENG 567),Robot Kinematics and Dynamics,Prerequisite: Graduate standing or permission of instructor (3 credits),https://atlas.ai.umich.edu/course/EECS%20567/
EECS 568 (NAVARCH 568),Mobile Robotics: Methods and Algorithms,Prerequisite: Graduate Standing or permission of instructor. (4 credits),https://atlas.ai.umich.edu/course/EECS%20568/
EECS 569 (MFG 564),Production Systems Engineering,Prerequisite: None. (3 credits),https://atlas.ai.umich.edu/course/EECS%20569/
EECS 570,Parallel Computer Architecture,Prerequisite: EECS 470. (4 credits),https://atlas.ai.umich.edu/course/EECS%20570/
EECS 571,Principles of Real-Time Computing,Prerequisite: EECS 470, EECS 482 or permission of instructor. (4 credits),https://atlas.ai.umich.edu/course/EECS%20571/
EECS 572,Randomness and Computation,Prerequisite: EECS 376 (B+ or better, No OP/F); or Graduate Standing. Advisory Prerequisite: Coursework in probability and algorithms. (4 credits),https://atlas.ai.umich.edu/course/EECS%20572/
EECS 573,Microarchitecture,Prerequisite: EECS 470 or permission of instructor. (3 credits),https://atlas.ai.umich.edu/course/EECS%20573/
EECS 574,Computational Complexity,Prerequisite: EECS 376 (B+ or better, No OP/F); or Graduate Standing. Advised Prerequisite: Coursework in probability and algorithms. (4 credits),https://atlas.ai.umich.edu/course/EECS%20574/
EECS 575,Advanced Cryptography,Prerequisite: EECS 376 (B+ or better, No OP/F); or Graduate Standing. (4 credits),https://atlas.ai.umich.edu/course/EECS%20575/
EECS 576,Advanced Data Mining,Advisory Prerequisite: EECS 281 and (MATH 214 or 217 or 296 or 417 or 419 or ROB 101) and (STATS 412 or MATH 425), or graduate standing. (4 credits),https://atlas.ai.umich.edu/course/EECS%20576/
EECS 578,Correct Operation for Processors and Embedded Systems,Prerequisite: EECS 470 or graduate standing or permission of instructor.,https://atlas.ai.umich.edu/course/EECS%20578/
EECS 579,Digital System Testing,Prerequisite: Graduate standing. (4 credits),https://atlas.ai.umich.edu/course/EECS%20579/
EECS 582,Advanced Operating Systems,Prerequisite: EECS 482. (4 credits),https://atlas.ai.umich.edu/course/EECS%20582/
EECS 583,Advanced Compilers,Prerequisite: EECS 281 and 370 (EECS 483 is also recommended) (4 credits),https://atlas.ai.umich.edu/course/EECS%20583/
EECS 584,Advanced Database Systems,Prerequisite: EECS 484 or permission of instructor. (4 credits),https://atlas.ai.umich.edu/course/EECS%20584/
EECS 586,Design and Analysis of Algorithms,Prerequisite: EECS 376 (B+ or better, No OP/F); or Graduate Standing,https://atlas.ai.umich.edu/course/EECS%20586/
EECS 587,Parallel Computing,Prerequisite: EECS 281 and graduate standing. (4 credits),https://atlas.ai.umich.edu/course/EECS%20587/
EECS 588,Computer and Network Security,Prerequisite: EECS 482 or EECS 489 or graduate standing. (4 credits),https://atlas.ai.umich.edu/course/EECS%20588/
EECS 589,Advanced Computer Networks,Prerequisite: EECS 489. (4 credits),https://atlas.ai.umich.edu/course/EECS%20589/
EECS 590,Advanced Programming Languages,Prerequisite: EECS 281 or equivalent. (4 credits),https://atlas.ai.umich.edu/course/EECS%20590/
EECS 591,Distributed Systems,Prerequisite: EECS 482 and graduate standing. (4 credits),https://atlas.ai.umich.edu/course/EECS%20591/
EECS 592,Foundations of Artificial Intelligence,Advisory Prerequisite: Graduate standing. (4 credits) (Credit cannot be obtained for both EECS 492 and EECS 592.),https://atlas.ai.umich.edu/course/EECS%20592/
EECS 593,Human-Computer Interaction,Prerequisite: Graduate standing. (3 credits),https://atlas.ai.umich.edu/course/EECS%20593/
EECS 595 (LING 541) (SI 561),Natural Language Processing,Prerequisite: Senior Standing. (3 credits),https://atlas.ai.umich.edu/course/EECS%20595/
EECS 596,Master of Engineering Team Project,Prerequisite: Enrollment in the Masters of Engineering program in EECS. (1-6 credits),https://atlas.ai.umich.edu/course/EECS%20596/
EECS 597 (SI 760) (LING 702),Language and Information,Advisory Prerequisite: EECS 380 or concurrent election of one of SI 503 or LING 541; and Graduate Standing. (3 credits),https://atlas.ai.umich.edu/course/EECS%20597/
EECS 598,Special Topics in Electrical Engineering and Computer Science,Prerequisite: Permission of instructor or counselor. (1-4 credits),https://atlas.ai.umich.edu/course/EECS%20598/
EECS 599,Directed Study,Prerequisite: Prior arrangement with instructor; mandatory satisfactory/unsatisfactory. (1-4 credits),https://atlas.ai.umich.edu/course/EECS%20599/
EECS 600 (IOE 600),Function Space Methods in System Theory,Prerequisite: MATH 419. (3 credits),https://atlas.ai.umich.edu/course/EECS%20600/
EECS 601,Introduction to CSE Graduate Research,Prerequisite: Graduate Standing. (1 credit),https://atlas.ai.umich.edu/course/EECS%20601/
EECS 602,Reinforcement Learning Theory,Prerequisite: None. Advisory Prerequisite: EECS 501,https://atlas.ai.umich.edu/course/EECS%20602/
EECS 605,Data Science and Machine Learning Design Laboratory,Advisory Prerequisite: EECS 505 or 551 or graduate equivalent. (4 credits),https://atlas.ai.umich.edu/course/EECS%20605/
EECS 620,Electronic and Optical Properties of Semiconductors,Prerequisite: EECS 520 or EECS 540. (4 credits),https://atlas.ai.umich.edu/course/EECS%20620/
EECS 627,VLSI Design II,Prerequisite: EECS 427. (4 credits),https://atlas.ai.umich.edu/course/EECS%20627/
EECS 628,Advanced High Performance VLSI Design,Prerequisite: EECS 627 or equivalent. (3-4 credits),https://atlas.ai.umich.edu/course/EECS%20628/
EECS 631,Electromagnetic Scattering,Prerequisite: EECS 530 and graduate standing. (3 credits),https://atlas.ai.umich.edu/course/EECS%20631/
EECS 633,Numerical Methods in Electromagnetics,Prerequisite: EECS 530. (3 credits),https://atlas.ai.umich.edu/course/EECS%20633/
EECS 634 (APPPHYS 611) (Physics 611),Nonlinear Optics,Prerequisite: EECS 537 or EECS 538 or EECS 530. (3 credits),https://atlas.ai.umich.edu/course/EECS%20634/
EECS 638 (APPPHYS 609) (PHYSICS 542),Quantum Theory of Light,Prerequisite: Quantum mechanics, electrodynamics, atomic physics. (3 credits),https://atlas.ai.umich.edu/course/EECS%20638/
EECS 643 (PSYCH 643),Theory of Neural Computation,Prerequisite: Graduate standing or permission of instructor. (2-4 credits),https://atlas.ai.umich.edu/course/EECS%20643/
EECS 644 (PSYCH 644),Computational Modeling of Cognition,Prerequisite: Graduate standing or permission of instructor. (2-4 credits),https://atlas.ai.umich.edu/course/EECS%20644/
EECS 650,Channel Coding Theory,Prerequisite: EECS 501 and MATH 419. (3 credits),https://atlas.ai.umich.edu/course/EECS%20650/
EECS 659,Adaptive Signal Processing,Prerequisite: EECS 564. (3 credits),https://atlas.ai.umich.edu/course/EECS%20659/
EECS 662 (MECHENG 662),Advanced Nonlinear Control,Prerequisite: EECS 562 or MECHENG 548. (3 credits),https://atlas.ai.umich.edu/course/EECS%20662/
EECS 670,Special Topics in Computer Architecture,Prerequisite: Permission of instructor. (3 credits),https://atlas.ai.umich.edu/course/EECS%20670/
EECS 692,Advanced Artificial Intelligence,Prerequisites: EECS 592 or EECS 492. Minimum grade of “C” required for enforced prerequisites. (4 credits),https://atlas.ai.umich.edu/course/EECS%20692/
EECS 695 (PSYCH 740),Neural Models and Psychological Processes,Prerequisite: Permission of instructor. (3 credits),https://atlas.ai.umich.edu/course/EECS%20695/
EECS 698,Master’s Thesis,Prerequisite: Election of an EECS master’s thesis option. (1-6 credits),https://atlas.ai.umich.edu/course/EECS%20698/
EECS 699,Research Work in Electrical Engineering and Computer Science,Prerequisite: Graduate standing, permission of instructor; mandatory satisfactory/unsatisfactory. (1-6 credits),https://atlas.ai.umich.edu/course/EECS%20699/
EECS 700,Special Topics in System Theory,Prerequisite: Permission of instructor (to be arranged),https://atlas.ai.umich.edu/course/EECS%20700/
EECS 720,Special Topics in Solid-State Devices, Integrated Circuits, and Physical Electronics,Prerequisite: Permission of instructor. (1-4 credits),https://atlas.ai.umich.edu/course/EECS%20720/
EECS 730,Special Topics in Electromagnetics,Prerequisite: Permission of instructor. (1-4 credits) (to be arranged),https://atlas.ai.umich.edu/course/EECS%20730/
EECS 735,Special Topics in the Optical Sciences,Prerequisite: Graduate standing, permission of instructor (to be arranged) (1-4 credits),https://atlas.ai.umich.edu/course/EECS%20735/
EECS 750,Special Topics in Communication and Information Theory,Prerequisite: Permission of instructor. (to be arranged),https://atlas.ai.umich.edu/course/EECS%20750/
EECS 755,Special Topics in Signal Processing,Prerequisite: Permission of instructor. (to be arranged) (1-4 credits),https://atlas.ai.umich.edu/course/EECS%20755/
EECS 760,Special Topics in Control Theory,Prerequisite: Permission of instructor. (to be arranged),https://atlas.ai.umich.edu/course/EECS%20760/
EECS 765,Special Topics in Stochastic Systems and Control,Prerequisite: Permission of instructor. (to be arranged) (3 credits),https://atlas.ai.umich.edu/course/EECS%20765/
EECS 820,Seminar in Solid-State Electronics,Prerequisite: Graduate standing, permission of instructor. (1 credit),https://atlas.ai.umich.edu/course/EECS%20820/
EECS 990,Dissertation/Pre-Candidate,(2-8 credits); (1-4 credits),https://atlas.ai.umich.edu/course/EECS%20990/
EECS 995,Dissertation/Candidate,Prerequisite: Graduate School authorization for admission as a doctoral candidate. (8 credits); (4 credits),https://atlas.ai.umich.edu/course/EECS%20995/
